City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
661,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,92,61,5.77,broken clouds
662,Safaga,EG,26.7292,33.9365,88.41,43,0,12.33,clear sky
663,Solnechnyy,RU,50.7214,136.6319,67.86,70,46,1.72,scattered clouds
664,Marzuq,YE,14.4,46.4667,84.7,40,87,8.93,overcast clouds
665,Beruwala,LK,6.4788,79.9828,84.15,71,16,11.01,few clouds
666,Boguchany,RU,58.3814,97.4531,58.42,44,47,11.21,scattered clouds
667,Brownsville,US,25.9018,-97.4975,79.09,78,1,0.0,clear sky
668,Emerald,AU,-23.5333,148.1667,79.75,27,0,15.43,clear sky
669,Nauta,PE,-4.5061,-73.5757,74.8,87,62,1.14,broken clouds
670,Rolla,US,37.9514,-91.7713,64.24,78,1,0.0,clear sky
671,Toora-Khem,RU,52.4675,96.11,64.53,45,100,4.5,overcast clouds
672,Harper,LR,4.375,-7.7169,77.83,88,99,8.72,light rain
673,Rumonge,BI,-3.9736,29.4386,77.83,53,39,3.31,scattered clouds
674,Ahuimanu,US,21.4447,-157.8378,80.31,70,20,12.66,few clouds
675,Camana,PE,-16.6228,-72.7111,59.76,86,92,8.68,overcast clouds
676,Elko,US,41.0002,-115.5012,74.64,8,0,8.99,clear sky
677,Kiama,AU,-34.6833,150.8667,78.39,29,61,12.17,broken clouds
678,Paita,PE,-5.0892,-81.1144,63.64,84,77,13.33,broken clouds
