City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Victor Harbor,AU,2021-09-09 04:07:11,-35.5667,138.6167,78.46,40,14,19.37
145,Xining,CN,2021-09-09 04:07:11,36.6167,101.7667,63.95,40,36,1.99
146,Danilov,RU,2021-09-09 04:07:12,58.1908,40.1717,56.41,94,100,12.64
147,Pano Aqil,PK,2021-09-09 04:07:12,27.8569,69.1116,87.69,38,47,10.76
148,Zhemtala,RU,2021-09-09 04:07:13,43.2841,43.6559,51.3,86,30,0.2
149,Katsuura,JP,2021-09-09 04:07:13,35.1333,140.3,73.42,93,100,2.26
150,Egvekinot,RU,2021-09-09 04:07:13,66.3167,-179.1667,31.98,96,100,12.8
151,Lichuan,CN,2021-09-09 04:07:14,30.3,108.85,76.33,45,73,3.36
152,Sitka,US,2021-09-09 04:07:14,57.0531,-135.33,57.09,82,90,4.61
153,Barrow,US,2021-09-09 04:07:14,71.2906,-156.7887,42.82,81,1,0.0
154,Morondava,MG,2021-09-09 04:07:15,-20.2833,44.2833,69.64,47,0,3.78
155,Tabas,IR,2021-09-09 04:07:15,33.5959,56.9244,80.55,25,0,2.73
156,Saldanha,ZA,2021-09-09 04:07:16,-33.0117,17.9442,55.31,63,98,9.31
157,Saint George,US,2021-09-09 04:07:16,37.1041,-113.5841,93.94,14,1,1.99
158,Broome,US,2021-09-09 04:07:16,42.2506,-75.833,65.19,88,99,4.47
159,Ukiah,US,2021-09-09 04:07:16,39.1502,-123.2078,85.03,39,1,4.61
160,Champerico,GT,2021-09-09 04:07:17,14.3,-91.9167,84.34,83,99,6.98
161,Shahr-E Babak,IR,2021-09-09 04:07:17,30.1165,55.1186,73.62,16,1,8.86
162,Cidreira,BR,2021-09-09 04:07:18,-30.1811,-50.2056,64.99,93,100,12.35
163,Weligama,LK,2021-09-09 04:07:18,5.9667,80.4167,84.31,71,43,12.08
164,Goure,NE,2021-09-09 04:07:19,13.9835,10.2704,80.02,58,13,6.93
165,Alasehir,TR,2021-09-09 04:07:19,38.3508,28.5172,63.21,79,0,1.16
166,Rosetta,EG,2021-09-09 04:07:19,31.4044,30.4164,79.3,74,0,12.97
167,Thompson,CA,2021-09-09 04:07:20,55.7435,-97.8558,51.69,83,95,4.16
168,Coldingham,GB,2021-09-09 04:07:20,55.8868,-2.157,59.02,91,79,1.99
169,Srednekolymsk,RU,2021-09-09 04:07:20,67.45,153.6833,36.86,77,100,16.37
170,Rosa Zarate,EC,2021-09-09 04:07:21,0.3333,-79.4667,71.08,95,91,2.42
171,Mount Gambier,AU,2021-09-09 04:07:21,-37.8333,140.7667,71.51,30,65,24.16
172,Pangkalanbuun,ID,2021-09-09 04:07:22,-2.6833,111.6167,89.08,50,64,6.02
173,Roald,NO,2021-09-09 04:07:22,62.5833,6.1333,64.17,94,90,12.66
174,Naryan-Mar,RU,2021-09-09 04:07:22,67.6713,53.087,40.77,97,100,6.2
175,Mugur-Aksy,RU,2021-09-09 04:07:23,50.35,90.5,60.93,37,31,15.7
176,Zavetnoye,RU,2021-09-09 04:07:23,47.1194,43.8903,57.92,56,7,4.94
177,Bentiu,SS,2021-09-09 04:07:23,9.2333,29.8333,68.29,98,78,4.05
178,Taoudenni,ML,2021-09-09 04:07:24,22.6783,-3.9836,96.4,12,0,17.56
179,Escanaba,US,2021-09-09 04:07:22,45.7453,-87.0646,61.23,88,1,5.75
180,Havoysund,NO,2021-09-09 04:07:24,70.9963,24.6622,43.03,78,100,16.67
181,Windhoek,NA,2021-09-09 04:07:21,-22.5594,17.0832,57.11,36,3,3.49
182,Moengo,SR,2021-09-09 04:07:25,5.6167,-54.4,74.57,98,80,2.3
183,Wad Madani,SD,2021-09-09 04:07:25,14.4012,33.5199,77.14,71,87,11.92
184,Ciudad Bolivar,VE,2021-09-09 04:07:25,8.1222,-63.5497,77.16,86,93,7.9
185,Saint-Philippe,RE,2021-09-09 04:07:26,-21.3585,55.7679,71.22,73,37,9.31
186,Krasnoselkup,RU,2021-09-09 04:07:26,65.7,82.4667,47.1,81,100,10.85
187,Tuktoyaktuk,CA,2021-09-09 04:07:26,69.4541,-133.0374,50.56,67,58,9.95
188,Sao Felix Do Xingu,BR,2021-09-09 04:07:27,-6.6447,-51.995,73.22,87,86,1.07
189,Progreso,MX,2021-09-09 04:07:27,21.2833,-89.6667,80.11,80,74,10.31
190,Bend,US,2021-09-09 04:07:27,44.0582,-121.3153,74.08,37,1,1.01
191,Dikson,RU,2021-09-09 04:07:28,73.5069,80.5464,41.54,90,72,13.33
192,Sorland,NO,2021-09-09 04:07:28,67.667,12.6934,46.47,75,100,13.71
193,Nantucket,US,2021-09-09 04:03:38,41.2835,-70.0995,75.09,84,90,11.5
194,Erenhot,CN,2021-09-09 04:07:29,43.6475,111.9767,59.05,30,7,16.49
195,Asau,RO,2021-09-09 04:07:29,46.4333,26.4,46.96,93,0,2.59
196,Barcelona,ES,2021-09-09 04:05:12,41.3888,2.159,75.78,84,40,1.01
197,North Bend,US,2021-09-09 04:07:30,43.4065,-124.2243,59.92,95,90,0.0
198,East London,ZA,2021-09-09 04:05:39,-33.0153,27.9116,58.05,63,55,5.23
199,Klaksvik,FO,2021-09-09 04:06:12,62.2266,-6.589,47.32,65,95,6.22
200,Avarua,CK,2021-09-09 04:07:31,-21.2078,-159.775,77.05,78,40,14.97
201,Victoria,HK,2021-09-09 04:06:13,22.2855,114.1577,91.96,69,6,5.44
202,Sur,OM,2021-09-09 04:07:31,22.5667,59.5289,89.64,54,100,6.22
203,Waingapu,ID,2021-09-09 04:07:32,-9.6567,120.2641,86.65,56,61,16.64
204,Sampit,ID,2021-09-09 04:07:18,-2.5333,112.95,85.41,63,97,4.76
205,Sao Filipe,CV,2021-09-09 04:07:32,14.8961,-24.4956,77.54,81,37,1.36
206,Belaya Gora,RU,2021-09-09 04:07:32,68.5333,146.4167,36.28,67,99,11.05
207,Coruripe,BR,2021-09-09 04:07:33,-10.1256,-36.1756,75.02,71,93,6.22
208,Kyabe,TD,2021-09-09 04:07:33,9.4515,18.9449,71.28,95,99,1.83
209,Benidorm,ES,2021-09-09 04:07:34,38.5382,-0.131,80.49,53,100,7.36
210,Marawi,PH,2021-09-09 04:07:34,7.9986,124.2928,74.64,79,100,5.82
211,Mecca,SA,2021-09-09 04:07:34,21.4267,39.8261,85.73,58,23,7.49
212,Port Hardy,CA,2021-09-09 04:03:23,50.6996,-127.4199,54.19,98,100,8.5
213,Kalmunai,LK,2021-09-09 04:07:35,7.4167,81.8167,86.72,61,96,5.75
214,Kodiak,US,2021-09-09 04:07:35,57.79,-152.4072,53.11,94,90,13.8
215,Qunduz,AF,2021-09-09 04:07:36,36.729,68.857,87.53,12,0,5.46
216,Katherine,AU,2021-09-09 04:07:36,-14.4667,132.2667,91.72,18,47,16.11
217,Bumba,CD,2021-09-09 04:07:37,2.1833,22.4667,68.38,95,100,0.94
218,Wagar,SD,2021-09-09 04:07:37,16.1525,36.2032,82.33,70,84,16.02
219,Katangli,RU,2021-09-09 04:07:37,51.7102,143.2326,66.76,78,93,5.55
220,Paamiut,GL,2021-09-09 04:07:38,61.994,-49.6678,41.02,97,100,1.25
221,Tonota,BW,2021-09-09 04:07:38,-21.4833,27.4833,55.94,90,27,10.87
222,Santa Isabel Do Rio Negro,BR,2021-09-09 04:07:38,-0.4139,-65.0192,72.09,98,100,0.69
223,Coffs Harbour,AU,2021-09-09 04:07:39,-30.3,153.1333,81.14,64,2,19.57
224,Abeche,TD,2021-09-09 04:07:39,13.8292,20.8324,77.16,70,89,3.27
225,Pevek,RU,2021-09-09 04:07:39,69.7008,170.3133,32.65,79,54,19.84
226,Muros,ES,2021-09-09 04:07:40,42.7762,-9.0603,67.23,93,100,4.63
227,Hamilton,US,2021-09-09 04:03:17,39.1834,-84.5333,66.02,80,75,0.0
228,Hudson Bay,CA,2021-09-09 04:07:41,52.85,-102.3842,54.39,70,51,3.31
229,Gizo,SB,2021-09-09 04:07:41,-8.103,156.8419,83.34,73,43,10.49
230,Lorengau,PG,2021-09-09 04:07:42,-2.0226,147.2712,79.14,87,100,17.43
231,Roma,US,2021-09-09 04:07:42,43.2128,-75.4557,66.38,97,75,0.0
232,Meulaboh,ID,2021-09-09 04:07:17,4.1363,96.1285,83.23,65,99,1.28
233,San Patricio,US,2021-09-09 04:07:42,28.017,-97.5169,84.04,57,99,6.2
234,Chuy,UY,2021-09-09 04:07:43,-33.6971,-53.4616,54.54,94,77,13.11
235,Kadnikov,RU,2021-09-09 04:07:43,59.5022,40.338,53.29,94,92,11.05
236,Malabo,GQ,2021-09-09 04:07:44,3.75,8.7833,78.3,87,87,3.6
237,Axim,GH,2021-09-09 04:07:44,4.8699,-2.2405,75.72,95,19,5.88
238,Nioki,CD,2021-09-09 04:07:44,-2.7167,17.6833,72.01,90,12,2.1
239,Anloga,GH,2021-09-09 04:07:45,5.7947,0.8973,76.96,90,100,10.25
240,Awjilah,LY,2021-09-09 04:07:45,29.1081,21.2869,72.45,66,0,8.14
241,Cabo San Lucas,MX,2021-09-09 04:07:45,22.8909,-109.9124,83.61,81,99,2.15
242,Sherlovaya Gora,RU,2021-09-09 04:07:46,50.5667,116.25,42.69,77,100,4.76
243,Bintulu,MY,2021-09-09 04:07:46,3.1667,113.0333,80.38,79,100,2.86
244,Paracuru,BR,2021-09-09 04:07:46,-3.41,-39.0306,79.11,82,48,12.24
245,Ancud,CL,2021-09-09 04:07:47,-41.8697,-73.8203,49.53,89,100,7.09
246,Flinders,AU,2021-09-09 04:07:47,-34.5833,150.8552,80.2,37,70,11.9
